price_in_aed,kilometers,body_condition,mechanical_condition,seller_type,body_type,no_of_cylinders,transmission_type,regional_specs,horsepower,fuel_type,steering_side,year,color,emirate,motors_trim,company,model
369000,0,Perfect inside and out,Perfect inside and out,Dealer,Wagon,6,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,,Black, Dubai,Other,toyota,land-cruiser
24500,240000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2013.0,Silver, Dubai,SEL,ford,taurus
69500,0,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6,Automatic Transmission,Other,300 - 400 HP,Gasoline,Left Hand Side,2014.0,Black, Dubai,Other,hyundai,genesis
115500,40000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,North American Specs,500 - 600 HP,Gasoline,Left Hand Side,2019.0,Silver, Sharjah,SV,nissan,armada
1299000,2430,Perfect inside and out,Perfect inside and out,Dealer,Sedan,12,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2019.0,White, Dubai,Extended Wheel Base,rolls-royce,ghost
109900,63000,Perfect inside and out,Perfect inside and out,Dealer,Soft Top Convertible,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2014.0,Black, Dubai,640i,bmw,6-series
400000,40391,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2020.0,White, Dubai,Other,bmw,8-series
225000,90000,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2015.0,Black, Dubai,X6M,bmw,x6
288000,0,Perfect inside and out,Perfect inside and out,Dealer,Crossover,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2021.0,Black, Dubai,Other,mercedes-benz,glc
77000,110000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2014.0,Burgundy, Dubai,Ghibli S,maserati,ghibli
